...ဖြစ်စေ...ဖြစ်စေ	... ဖြစ် စေ... ဖြစ် စေ	... hpji' sei ... hpji' se...ရိုး..စဉ်	... ရိုး.. စဉ်	jou: ... si...ရိုး..စဉ်	... ရိုး.. စဉ်	jou: ... zi...လို...ငြား	... လို... ငြား	... lou ... njaကကတစ်	က က တစ်	ka. ga- diကကတိုး	က က တိုး	ka. ga- douကကုသန်	က ကု သန်	ka. ku. thaကကုသန်	က ကု သန်	kau' ka- thaကကူရံ	က ကူ ရံ	ka. ku janကကြိုး	က ကြိုး	ka. gyou:ကကြိုးတန်ဆာ	က ကြိုး တန် ဆာ	ka. gyou: da- zaကကြီကကြောင်လုပ်	က ကြီ က ကြောင် လုပ်	ga- gyi ga- gyaun lou'ကကြီး	က ကြီး	ka. gyi:ကကြီးထွန်	က ကြီး ထွန်	ka. gyi: htunကကွက်	က ကွက်	ka. gwe'ကချလာ	က ချ လာ	ka- cha- la-ကချင်	က ချင်	ka- chinကချေသည်	က ချေ သည်	ka. gyei dheကချော်ကချွတ်	က ချော် က ချွတ်	ka- cho ka- chu'ကစဉ့်ကရဲ	က စဉ့် က ရဲ	ga- zin. ga je:ကစဉ့်ကလျား	က စဉ့် က လျား	ga- zin. ga- ja:ကစား	က စား	ga- za:ကစားကွက်	က စား ကွက်	ga- za: gwe'ကစားကွင်း	က စား ကွင်း	ga- za: gwin:ကစားခုန်စား	က စား ခုန် စား	ga- za: khoun za:ကစားစရာ	က စား စ ရာ	ga- za: za- jaကစားဒိုင်	က စား ဒိုင်	ga- za: dainကစားဖော်	က စား ဖော်	ga- za: boကစားဝိုင်း	က စား ဝိုင်း	ga- za: wain:ကစားသမား	က စား သ မား	ga- za: dha- ma:ကစိန်းကဝါး	က စိန်း က ဝါး	ga- zein: ga- wa:ကစိုကရွား	က စို က ရွား	ga- zou ga- jwa:ကစီ	က စီ	ga- ziကစီဓာတ်	က စီ ဓာတ်	ga- zi da'ကစော့ခါး	က စော့ ခါး	ga- zo. ga:ကစော်	က စော်	ga- zoကဆုန်	က ဆုန်	ka- hsounကဆုန်ပေါက်	က ဆုန် ပေါက်	ka- hsoun pau'ကဇာတ်	က ဇာတ်	ka. za'ကည	က ည	ka- nja.ကညင်	က ညင်	ka- njinကညင်ဆီ	က ညင် ဆီ	ka- njin ziကညင်ဆီတိုင်	က ညင် ဆီ တိုင်	ka- njin zi dainကညစ်	က ညစ်	ka- nji'ကညာ	က ညာ	ka- njaကညာစစ်	က ညာ စစ်	ka- nja si'ကညာမြှေး	က ညာ မြှေး	ka- nja mhjei:ကညို့	က ညို့	ka- njou.ကညွတ်	က ညွတ်	ka- nju'ကဏန်း	က ဏန်း	ga- nan:ကဏန်းမြင်း	က ဏန်း မြင်း	ga- nan: mjin:ကဏန်းလက်မ	က ဏန်း လက် မ	ga- nan: le' ma.ကတညုတ	က တ ညု တ	ka- tin nju. ta.ကတင်	က တင်	ka- tinကတင်	က တင်	ka. tinကတည်းက	က တည်း က	ga- de: ga.ကတတ်ငန်း	က တတ် ငန်း	ga- da' ngan:ကတမ်းကရမ်း	က တမ်း က ရမ်း	ga- dan: ga- jan:ကတိ	က တိ	ga- di.ကတိကဝတ်	က တိ က ဝတ်	ga- di. ka- wu'ကတိခံဝန်ချက်	က တိ ခံ ဝန် ချက်	ga- di. khan wun gye'ကတိခံဝန်ချုပ်	က တိ ခံ ဝန် ချုပ်	ga- di. khan wun gyou'ကတိစာချုပ်	က တိ စာ ချုပ်	ga- di. sa gyou'ကတိတည်	က တိ တည်	ga- di. tiကတိထား	က တိ ထား	ga- di. hta:ကတိပေး	က တိ ပေး	ga- di. pei:ကတိပျက်	က တိ ပျက်	ga- di. pje'ကတိပြု	က တိ ပြု	ga- di pju.ကတိဖျက်	က တိ ဖျက်	ga- di. hpje'ကတိသစ္စာပြု	က တိ သစ် စာ ပြု	ga- di. thi' sa pju.ကတိသစ္စာပြုပွဲ	က တိ သစ် စာ ပြု ပွဲ	ga- di. thi' sa pju. bwe:ကတိမ်းကပါးဖြစ်	က တိမ်း က ပါး ဖြစ်	ga- dein: ga- ba: hpji'ကတိမ်းကယိမ်း	က တိမ်း က ယိမ်း	ga- dein: ga- jein:ကတိုက်ကရိုက်	က တိုက် က ရိုက်	ga- dai' ga- jai'ကတိုး	က တိုး	ga- dou:ကတိုးခွာ	က တိုး ခွာ	ga- dou: khwaကတုတ်	က တုတ်	ga- dou'ကတုတ်ကျင်း	က တုတ် ကျင်း	ga- dou' kyin:ကတုန်ကယင်	က တုန် က ယင်	ga- doun ga- jinကတုန်းကတိုက်လုပ်	က တုန်း က တိုက် လုပ်	ga- doun: ga- dai' lou'ကတူး	က တူး	ga- du:ကတောကမျော	က တော က မျော	ga- do: ga- mjo:ကတောက်	က တောက်	ga- dau'ကတောက်ကဆတ်ဖြစ်	က တောက် က ဆတ် ဖြစ်	ga- dau' ga- hsa' hpji'ကတောက်ကတက်ဖြစ်	က တောက် က တက် ဖြစ်	ga- dau' ga- de' hpji'ကတောက်စပ်	က တောက် စပ်	ga- dau' sa'ကတောင်ချောက်ချားဖြစ်	က တောင် ချောက် ချား ဖြစ်	ga- daun chau' cha: hpji'ကတော့	က တော့	ga- do.ကတော့ပုံ	က တော့ ပုံ	ga- do. pounကတော်	က တော်	ga- doကတွတ်	က တွတ်	ga- du'ကတွတ်မုန့်	က တွတ် မုန့်	ga- du' moun.ကထိက	က ထိ က	ka- hti. ka.ကထိန်	က ထိန်	ka- hteinကဒတ်	က ဒတ်	ga- da'ကဒူဥ	က ဒူ ဥ	ka- du u.ကနကုတ်	က န ကုတ်	ka- na- gou'ကနခို	က န ခို	ka- na- khouကနစို	က န စို	ka- na- zou
ကနစိုး	က န စိုး	ka- na- zou:
အောင်စည်အောင်မောင်း	အောင် စည် အောင် မောင်း	aun zi aun maun:
အောင်စာ	အောင် စာ	aun za
အောင်စာရင်း	အောင် စာ ရင်း	aun za jin:
အောင်ဇေယျတု	အောင် ဇေ ယျ တု	aun zei ja- tu
အောင်ထူ	အောင် ထူ	aun htu
အောင်ပန်း	အောင် ပန်း	aun ban:
အောင်ပြန်ထူ	အောင် ပြန် ထူ	aun bjan htu
အောင်ပွဲ	အောင် ပွဲ	aun bwe:
အောင်ပွဲခံ	အောင် ပွဲ ခံ	aun bwe: khan
အောင်ပွဲရ	အောင် ပွဲ ရ	aun bwe: ja.
အောင်ဗလမုန့်	အောင် ဗ လ မုန့်	aun ba- la moun.
အောင်ဘာလေ	အောင် ဘာ လေ	aun ba lei
အောင်မယ်	အောင် မယ်	aun me
အောင်မယ်မင်း	အောင် မယ် မင်း	aun me min:
အောင်မယ်လေး	အောင် မယ် လေး	aun me lei:
အောင်မာ	အောင် မာ	aun ma
အောင်မဲညို	အောင် မဲ ညို	aun me: njou
အောင်မဲဖြူ	အောင် မဲ ဖြူ	aun me: bju
အောင်မြင်	အောင် မြင်	aun mjin
အောင်မြေ	အောင် မြေ	aun mjei
အောင်မြေနင်း	အောင် မြေ နင်း	aun mjei nin:
အောင်မှတ်	အောင် မှတ်	aun mha'
အောင်ရေ	အောင် ရေ	aun jei
အောင်လက်မှတ်	အောင် လက် မှတ်	aun le' mha'
အောင်လံ	အောင် လံ	aun lan
အောင်သပြေ	အောင် သ ပြေ	aun dha- bjei
အောင်သေအောင်သား	အောင် သေ အောင် သား	aun dhei aun dha:
အောင်သွယ်	အောင် သွယ်	aun thwe
အောင်းကလေး	အောင်း က လေး	aun: ga- lei:
အောင်းဆင်	အောင်း ဆင်	aun: hsin
အောင်းမ	အောင်း မ	aun: ma.
အော့ကြောလန်	အော့ ကြော လန်	o. gyo: lan
အော့နာကျ	အော့ နာ ကျ	o. na gya.
အော့နာဝမ်းကျ	အော့ နာ ဝမ်း ကျ	o. na wan: gya.
အော့နှလုံးနာ	အော့ နှ လုံး နာ	o. nha- loun: na
အော့အန်	အော့ အန်	o. an
အော်ကျယ်ဟစ်ကျယ်	အော် ကျယ် ဟစ် ကျယ်	o gye hi' kye
အော်ကျယ်အော်ကျယ်	အော် ကျယ် အော် ကျယ်	o gye o gye
အော်ကြီးဟစ်ကျယ်	အော် ကြီး ဟစ် ကျယ်	o gyi hi' kye
အော်ကြီးဟစ်ကြီး	အော် ကြီး ဟစ် ကြီး	o gyi hi' kyi:
အော်ဂလီဆန်	အော် ဂ လီ ဆန်	o ga- li hsan
အော်ငေါက်	အော် ငေါက်	o ngau'
အော်တို	အော် တို	o tou
အော်တိုကရေစီ	အော် တို က ရေ စီ	o tou ka- rei si
အော်တိုမက်တစ်	အော် တို မက် တစ်	o tou me' ti'
အော်ဒါ	အော် ဒါ	o da
အော်ဒါလိုက်	အော် ဒါ လိုက်	o da lai'
အော်ဒီကလုံး	အော် ဒီ က လုံး	o di ka- loun:
အော်ပရာ	အော် ပ ရာ	o pa- ra
အော်ပရေတာ	အော် ပ ရေ တာ	o pa- rei ta
အော်ပွဲ	အော် ပွဲ	o bwe:
အော်မြည်	အော် မြည်	o mji
အော်ရော	အော် ရော	o jo:
အော်လန်	အော် လန်	o lan
အော်လီဂန်း	အော် လီ ဂန်း	o li gan:
အော်လဲ	အော် လဲ	o le:
အော်ဟစ်	အော် ဟစ်	o hi'
အေးကျင်း	အေး ကျင်း	ei: gyin:
အေးချမ်း	အေး ချမ်း	ei: gyan:
အေးငြိမ်း	အေး ငြိမ်း	ei: njein:
အေးစက်စက်	အေး စက် စက်	ei: se' se'
အေးစိအေးစက်	အေး စိ အေး စက်	ei: si. ei: se'
အေးစိမ့်စိမ့်ဖြစ်	အေး စိမ့် စိမ့် ဖြစ်	ei: sein. zein. hpji'
အေးစေ	အေး စေ	ei: zei
အေးဆေး	အေး ဆေး	ei: hsei:
အေးတိအေးစက်	အေး တိ အေး စက်	ei: ti. ei: se'
အေးဓားပြ	အေး ဓား ပြ	ei: da- mja.
အေးမသာ	အေး မ သာ	ei: ma- tha
အေးမုန့်	အေး မုန့်	ei: moun.
အေးမြ	အေး မြ	ei: mja.
အေးအတူပူအမျှ	အေး အ တူ ပူ အ မျှ	ei: a- tu pu a- mhja.
အေးအေးဆေးဆေး	အေး အေး ဆေး ဆေး	ei: ei: hsei: zei:
အေးအေးလူလူ	အေး အေး လူ လူ	ei: ei: lu lu
အေးအေးသက်သာ	အေး အေး သက် သာ	ei: ei: the' tha
အဲခိုး	အဲ ခိုး	e: khou:
အဲခိုးသံ	အဲ ခိုး သံ	e: khou: than
အဲချင်း	အဲ ချင်း	e: gyin:
အဲထူး	အဲ ထူး	e: htu:
အဲဒီ	အဲ ဒီ	e: di
အဲမောင်း	အဲ မောင်း	e: maun:
အဲသည်	အဲ သည်	e: dhi
အဲသည်တော့	အဲ သည် တော့	e: dhi do.
အဲသည်လို	အဲ သည် လို	e: dha- lou
အဲသည်လို	အဲ သည် လို	e: dhi lou
အဲသည်လောက်	အဲ သည် လောက်	e: dha- lau'
အဲသည်လောက်	အဲ သည် လောက်	e: dhi lau'
အဲဟို	အဲ ဟို	e: hou
အံကပ်	အံ ကပ်	a nga'
အံကိုက်	အံ ကိုက်	an kai'
အံကျ	အံ ကျ	an kya.
အံကြိတ်	အံ ကြိတ်	an kyei'
အံခဲ	အံ ခဲ	an khe:
အံချော်	အံ ချော်	an cho
အံခွ	အံ ခွ	an khwa.
အံခွက်	အံ ခွက်	an khwe'
အံစောင်	အံ စောင်	an zaun
အံဆင့်	အံ ဆင့်	an zin.
အံဆုံး	အံ ဆုံး	an zoun:
အံဆွဲ	အံ ဆွဲ	an zwe:
အံတို	အံ တို	an tou
အံပုံ	အံ ပုံ	an boun
အံပွား	အံ ပွား	an bwa:
အံဖုံး	အံ ဖုံး	an boun:
အံဝင်ခွင်ကျ	အံ ဝင် ခွင် ကျ	an win gwin gya.
အံဝှက်	အံ ဝှက်	an hwe'
အံသကိုက်	အံ သ ကိုက်	an dha- gai'
အံသာ	အံ သာ	an dha
အံသာရက်	အံ သာ ရက်	an dha je'
အံသွား	အံ သွား	an dhwa:
အံ့ခမန်း	အံ့ ခ မန်း	an. kha- man:
အံ့ချီး	အံ့ ချီး	an. chi:
အံ့တစ်ပါး	အံ့ တစ် ပါး	an. da- ba:
အံ့ပွဲ	အံ့ ပွဲ	an. bwe:
အံ့ဖွယ်သရဲ	အံ့ ဖွယ် သ ရဲ	an. bwe tha je:
အံ့ဘနန်း	အံ့ ဘ နန်း	an. ba- nan:
အံ့မခန်း	အံ့ မ ခန်း	an. ma- khan:
အံ့သောငှာ	အံ့ သော ငှာ	an. dho: ngha
အံ့သြ	အံ့ သြ	an. o:
အံ့အာသရဲ	အံ့ အာ သ ရဲ	an. a tha- je:
အံ့အားသင့်	အံ့ အား သင့်	an. a: thin.
ဣရိယာပုတ်	ဣ ရိ ယာ ပုတ်	i. ri. ja bou'
ဣဿရမူလီ	ဣ ဿ ရ မူ လီ	ei. tha- ra. mu li.
ဣဿာမစ္ဆရိယ	ဣ ဿာ မစ် ဆ ရိ ယ	ei' tha mi' hsa- ri. ja.
ဣစ္ဆာသယ	ဣစ် ဆာ သ ယ	ei' hsa tha- ja.
ဣဋ္ဌာရုံ	ဣဋ် ဌာ ရုံ	ei' hta joun
ဣတ္ထိယ	ဣတ် ထိ ယ	ei' hti. ja.
ဣတ္ထိလိင်	ဣတ် ထိ လိင်	ei' hti. lein
ဣဒ္ဓိပါဒ်	ဣဒ် ဓိ ပါဒ်	ei' di. ba'
ဣန္ဒနီလာ	ဣန် ဒ နီ လာ	ein da- ni la
ဣန္ဒာ	ဣန် ဒါ	ein da
ဣန္ဒြေ	ဣန် ဒြေ	ein da- rei
ဣန္ဒြေကြီး	ဣန် ဒြေ ကြီး	ein da- rei kyi:
ဣန္ဒြေဆည်	ဣန် ဒြေ ဆည်	ein da- rei hse
ဣန္ဒြေဆောင်	ဣန် ဒြေ ဆောင်	ein da- rei hsaun
ဣန္ဒြေပျက်	ဣန် ဒြေ ပျက်	ein da- rei pje'
ဣန္ဒြေမဲ့	ဣန် ဒြေ မဲ့	ein da- rei me.
ဣန္ဒြေရ	ဣန် ဒြေ ရ	ein da- rei ja.
ဣန္ဒြေရှင်	ဣန် ဒြေ ရှင်	ein da- rei shin
ဣန္ဒြေရှိ	ဣန် ဒြေ ရှိ	ein da- rei shi.
ဣန္ဒြေလုပ်	ဣန် ဒြေ လုပ်	ein da- rei lou'
ဣန္ဒြေသမ္ပတ္တိ	ဣန် ဒြေ သမ် ပတ် တိ	ein da- rei than pa' ti.
ဤရွေ့ဤမျှ	ဤ ရွေ့ ဤ မျှ	i jwei. i mhja.
ဥကင်	ဥ ကင်	u. gin
ဥချိုး	ဥ ချိုး	u. gyou:
ဥစိမ်း	ဥ စိမ်း	u. zein:
ဥဏှဂူ	ဥ ဏှ ဂူ	oun nha- gu
ဥဏှတေဇော	ဥ ဏှ တေ ဇော	oun nha. tei zo:
ဥတစ်လုံးတစ်ကောင်ကြွက်	ဥ တစ် လုံး တစ် ကောင် ကြွက်	u. ta- loun: da- gaun gywe'
ဥတု	ဥ တု	u. du.
ဥတဲ	ဥ တဲ	u. de:
ဥဒဟို	ဥ ဒ ဟို	u. da- hou
ဥဒည်း	ဥ ဒည်း	u. di:
ဥဒါရတာဂုဏ်	ဥ ဒါ ရ တာ ဂုဏ်	u. da ra- ta goun
ဥဒါဟရုဏ်	ဥ ဒါ ဟ ရုဏ်	u. da ha- roun
ဥဒါန်း	ဥ ဒါန်း	u. dan:
ဥဒါန်းကျူး	ဥ ဒါန်း ကျူး	u. dan: kyu:
ဥဒါန်းတွင်	ဥ ဒါန်း တွင်	u. dan: twin
ဥဒါန်းမကျေ	ဥ ဒါန်း မ ကျေ	u. dan: ma- kyei
ဥဒေါင်း	ဥ ဒေါင်း	u. daun:
ဥနှဲ	ဥ နှဲ	ou' nhe:
ဥပစာ	ဥ ပ စာ	u. ba- za
ဥပစာခွန်	ဥ ပ စာ ခွန်	u. ba- za gun
ဥပဒေ	ဥ ပ ဒေ	u. ba- dei
ဥပဒေကြမ်း	ဥ ပ ဒေ ကြမ်း	u. ba- dei gyan:
ဥပဒေပေါင်းချုပ်	ဥ ပ ဒေ ပေါင်း ချုပ်	u. ba- dei baun: gyou'
ဥပဒေပြု	ဥ ပ ဒေ ပြု	u. ba- dei pju.
ဥပဒေပြုလွှတ်တော်	ဥ ပ ဒေ ပြု လွှတ် တော်	u. ba- dei pju. lhu' to
ဥပဒေသ	ဥ ပ ဒေ သ	u. ba- dei tha.
ဥပဓိရုပ်	ဥ ပ ဓိ ရုပ်	u. ba- di. jou'
ဥပပတ်	ဥ ပ ပတ်	u. ba- ba'
ဥပမည်း	ဥ ပ မည်း	u. pa- me:
ဥပမာ	ဥ ပ မာ	u. pa- ma
ဥပမာဇောတက	ဥ ပ မာ ဇော တ က	u. pa- ma zo: ta- ka.
ဥပမာန	ဥ ပ မာ န	u. pa- ma na.
ဥပမာအလင်္ကာ	ဥ ပ မာ အ လင် ကာ	u. pa- ma a- lin ga
ဥပမေယျ	ဥ ပ မေ ယျ	u. pa- mei ja.
ဥပရာ	ဥ ပ ရာ	u. pa- ra
ဥပရာဇာ	ဥ ပ ရာ ဇာ	u. pa- ra za
ဥပသမ္ပဒကံ	ဥ ပ သမ် ပ ဒ ကံ	u. pa. than ba- da. kan
ဥပစ္ဆေဒကကံ	ဥ ပစ် ဆေ ဒ က ကံ	u. pe' hsei da- ka. kan
ဥပဇ္ဈာယ်ဆရာ	ဥ ပဇ် ဈာယ် ဆ ရာ	u. pji' ze hsa- ja
ဥပဋ္ဌာက	ဥ ပဋ် ဌာ က	u. pa' hta ka.
ဥပတ္ထမ္ဘက	ဥ ပတ် ထမ် ဘ က	u. pa' htan ba- ka.
ဥပဒ်	ဥ ပဒ်	u. ba'
ဥပဒ္ဒဝေါ	ဥ ပဒ် ဒ ဝေါ	u. ba' da- wo:
ဥပန်း	ဥ ပန်း	u. ban:
ဥပါ	ဥ ပါ	u. pa
ဥပါကြယ်	ဥ ပါ ကြယ်	u. pa kye
ဥပါဒါန်	ဥ ပါ ဒါန်	u. pa dan
ဥပါပျံ	ဥ ပါ ပျံ	u. pa bjan
ဥပါသကာ	ဥ ပါ သ ကာ	u. pa tha- ka
ဥပါသိကာ	ဥ ပါ သိ ကာ	u. pa thi. ka
ဥပါဒ်	ဥ ပါဒ်	u. ba'
ဥပါယ်	ဥ ပါယ်	u. pe
ဥပါယ်တံမျဉ်	ဥ ပါယ် တံ မျဉ်	u. pe ta- mjin
ဥပုသ်	ဥ ပုသ်	u. bou'
ဥပုသ်ကျိုး	ဥ ပုသ် ကျိုး	u. bou' khou:
ဥပုသ်ကြီးဝင်	ဥ ပုသ် ကြီး ဝင်	u. bou' gyi: win
ဥပုသ်စောင့်	ဥ ပုသ် စောင့်	u. bou' saun.
ဥပုသ်ဆောင်ဝင်	ဥ ပုသ် ဆောင် ဝင်	u. bou' hsaun win
ဥပုသ်တော်ဆင်	ဥ ပုသ် တော် ဆင်	u. bou' to zin
ဥပုသ်ထွက်	ဥ ပုသ် ထွက်	u. bou' htwe'
ဥပုသ်နေ့	ဥ ပုသ် နေ့	u. bou' nei.
ဥပုသ်ပြု	ဥ ပုသ် ပြု	u. bou' pju.
ဥပုသ်သည်	ဥ ပုသ် သည်	u. bou' the
ဥပုသ်သုံး	ဥ ပုသ် သုံး	u. bou' thoun:
ဥပေက္ခာ	ဥ ပေက် ခါ	u. pe' kha
ဥပေက္ခာပြု	ဥ ပေက် ခါ ပြု	u. pe' kha pju.
ဥပေါသထသီလ	ဥ ပေါ သ ထ သီ လ	u. po: tha- hta. thi la.
ဥပြုံး	ဥ ပြုံး	u. bjoun:
ဥဖောက်စက်	ဥ ဖောက် စက်	u. hpau' se'
ဥဖောင်း	ဥ ဖောင်း	u. hpaun:
ဥဗျိုင်း	ဥ ဗျိုင်း	u. bjain:
ဥဗျိုင်းတာရာ	ဥ ဗျိုင်း တာ ရာ	u. bjain: ta ja
ဥဘတောဗျည်း	ဥ ဘ တော ဗျည်း	u. ba- to: bji:
ဥဘုတ်	ဥ ဘုတ်	u. bou'
ဥမကွဲသိုက်မပျက်	ဥ မ ကွဲ သိုက် မ ပျက်	u. ma- kwe: thai' ma- pje'
ဥမမည်စာမမြောက်	ဥ မ မည် စာ မ မြောက်	u. ma- me sa ma- mjau'
ဥမင်	ဥ မင်	u. min
ဥမင်လိုဏ်ခေါင်း	ဥ မင် လိုဏ် ခေါင်း	u. min lhain gaun:
ဥမြစ်	ဥ မြစ်	u. mji'
ဥမွှန်း	ဥ မွှန်း	ou' mhun:
ဥယျာဉ်	ဥ ယျာဉ်	u. jin
ဥယျာဉ်	ဥ ယျာဉ်	u: jin
ဥယျာဉ်မှူး	ဥ ယျာဉ် မှူး	u. jin mhu:
ဥယျာဉ်မှူး	ဥ ယျာဉ် မှူး	u: jin mhu:
ဥယျောဇဉ်	ဥ ယျော ဇဉ်	u. jo: zin
ဥရူတိုင်	ဥ ရူ တိုင်	u: ju dain
ဥသဘ	ဥ သ ဘ	ou' tha- hpa.
ဥသဘနွား	ဥ သ ဘ နွား	ou' tha- hpa. nwa:
ဥသိမ်	ဥ သိမ်	u. dhein
ဥသေးပေါက်ကင်း	ဥ သေး ပေါက် ကင်း	u. dhei: pau' kin:
ဥသေးဥမွှား	ဥ သေး ဥ မွှား	u. dhei: u. mhwa:
ဥသျှစ်	ဥ သျှစ်	ou' shi'
ဥသြ	ဥ သြ	ou' o:
ဥသြဆွဲ	ဥ သြ ဆွဲ	ou' o: hswe:
ဥသြမှုတ်	ဥ သြ မှုတ်	ou' o: mhou'
ဥဿဖရား	ဥ ဿ ဖ ရား	ou' tha- hpa- ja:
ဥဿာဟ	ဥ ဿာ ဟ	ou' tha ha.
ဥဿုံ	ဥ ဿုံ	ou' thoun
ဥက္ကဋ္ဌ	ဥက် ကဋ် ဌ	ou' ka- hta.
ဥက္ကာ	ဥက် ကာ	ou' ka
ဥက္ကာခဲ	ဥက် ကာ ခဲ	ou' ka ge:
ဥက္ကာပျံ	ဥက် ကာ ပျံ	ou' ka bjan
ဥက္ကောဋေယျ	ဥက် ကော ဋေ ယျ	ou' ko: dei ja.
ဥစ္စာ	ဥစ် စာ	ou' sa
ဥစ်စာစောင့်	ဥစ် စာ စောင့်	ou' da- zaun.
ဥစ်စာစောင့်	ဥစ် စာ စောင့်	ou' sa- zaun.
ဥစ္စာရင်	ဥစ် စာ ရင်	ou' sa jin
ဥစ္စာရူး	ဥစ် စာ ရူး	ou' sa- ju:
ဥစ္စာရှင်	ဥစ် စာ ရှင်	ou' sa shin
ဥစ္ဆေဒဒိဋ္ဌိ	ဥစ် ဆေ ဒ ဒိဋ် ဌိ	ou' hsei da. dei' hti.
ဥဏ္ဏလုံ	ဥဏ် ဏ လုံ	oun na- loun
ဥဏ္ဏလုံမွေးရှင်	ဥဏ် ဏ လုံ မွေး ရှင်	oun na- loun mwei: shin
ဥတ္တရဖလဂုနီ	ဥတ် တ ရ ဖ လ ဂု နီ	ou' ta- ra. hpa- la. gu. ni
ဥတ္တရဘဒြပိုဒ်	ဥတ် တ ရ ဘ ဒြ ပိုဒ်	ou' ta- ra. ba' da-ra bai'
ဥတ္တရယဉ်စွန်းတန်း	ဥတ် တ ရ ယဉ် စွန်း တန်း	ou' ta- ra. jin zun: dan:
ဥတ္တရာသာဠ်	ဥတ် တ ရာ သာဠ်	ou' ta- ra than
ဥဒ္ဒိဿစေတီ	ဥဒ် ဒိ ဿ စေ တီ	ou' dei' tha. zei di
ဥဒ္ဒေသ	ဥဒ် ဒေ သ	ou' dei tha.
ဥဒ္ဓစ္စ	ဥဒ် ဓစ် စ	ou' di' sa.
ဥပ္ပါတ်ပျံ	ဥပ် ပါတ် ပျံ	ou' pa' pjan
ဥမ္မတ္တက	ဥမ် မတ် တ က	oun ma' ta- ka.
ဥုံခံ	ဥုံ ခံ	oun khan
ဥုံတလဲလဲဖွတလဲလဲ	ဥုံ တ လဲ လဲ ဖွ တ လဲ လဲ	oun ta- le: le: hpwa. ta- le: le:
ဥုံဖွ	ဥုံ ဖွ	oun hpwa.
ဦရရူ	ဦ ရ ရူ	u ra- ju
ဦးကင်း	ဦး ကင်း	u: gin:
ဦးကိုင်	ဦး ကိုင်	u: gain:
ဦးကျိုး	ဦး ကျိုး	u: kyou:
ဦးကြီး	ဦး ကြီး	u: gyi:
ဦးခက်	ဦး ခက်	u: khe'
ဦးခန်း	ဦး ခန်း	u: gan:
ဦးခိုက်	ဦး ခိုက်	u: khai'
ဦးခေါင်း	ဦး ခေါင်း	u: gaun:
ဦးချ	ဦး ချ	u: cha.
ဦးချို	ဦး ချို	u: gyou
ဦးခြားရေး	ဦး ခြား ရေး	u: gya: jei:
ဦးခွံ	ဦး ခွံ	u: gun
ဦးစားပေး	ဦး စား ပေး	u: za: pei:
ဦးစီး	ဦး စီး	u: zi:
ဦးစီးခေါင်းဆောင်	ဦး စီး ခေါင်း ဆောင်	u: zi: gaun: hsaun
ဦးစီးခေါင်းဆောင်	ဦး စီး ခေါင်း ဆောင်	u: zi: gaun: zaun
ဦးစီးဌာန	ဦး စီး ဌာ န	u: zi: hta na.
ဦးစီးနာယက	ဦး စီး နာ ယ က	u: zi: na ja- ka.
ဦးစီးဦးကိုင်	ဦး စီး ဦး ကိုင်	u: zi: u: gain
ဦးစောက်	ဦး စောက်	u: zau'
ဦးစောက်ကျ	ဦး စောက် ကျ	u: zau' kya.
ဦးစောက်ကျွမ်းပြန်	ဦး စောက် ကျွမ်း ပြန်	u: zau' gyun: bjan
ဦးစောက်ပြောင်းပြန်	ဦး စောက် ပြောင်း ပြန်	u: zau' bjaun: bjan
ဦးစွန်း	ဦး စွန်း	u: zun:
ဦးစွန်းဖုတ်	ဦး စွန်း ဖုတ်	u: zun: hpou'
ဦးစွာ	ဦး စွာ	u: zwa
ဦးဆက်	ဦး ဆက်	ou' hse'
ဦးဆုံး	ဦး ဆုံး	u: zoun:
ဦးဆောက်ပန်း	ဦး ဆောက် ပန်း	u: hsau' pan:
